id	link	name	owner_name	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	owner_link	catalog_export	api_status
datosambientegobar	https://datos.ambiente.gob.ar	Datos Abiertos de Ambiente y Desarrollo Sostenible	Ministerio de Ambiente y Desarrollo Sostenible	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://ambiente.gob.ar		active
datosarsatcomar	https://datos.arsat.com.ar	Portal de datos abiertos de ARSAT	ARSAT	Open data portal	Business	CKAN	ES	dataset	open	Argentina	has_api	active	True	https://arsat.com.ar		active
datosculturagobar	https://datos.cultura.gob.ar	Datos abiertos de cultura	Ministerio de cultura Argentina	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://cultura.gob.ar		active
datosestadisticacbagovar	https://datosestadistica.cba.gov.ar	Datos Abiertos Destacados	Dirección General de Estadística y Censos	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://cba.gov.ar		active
datosgobar	https://datos.gob.ar	Datos Argentina	Jefatura de Gabinete de Ministros	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://www.argentina.gob.ar/jefatura		active
datosjusgobar	https://datos.jus.gob.ar	Datos Justicia Argentina	Ministerio de Justicia y Derechos Humanos	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://www.argentina.gob.ar/justicia		active
datosmagypgobar	https://datos.magyp.gob.ar	Datos Agricultura, Ganaderia y Pesca	Ministerio de Agricultura, Ganadería y Pesca	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://magyp.gob.ar		active
datosminemgobar	https://datos.minem.gob.ar	Datos Abiertos de la Secretaria de Energia	Secretaria de Energia	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True			active
datosmininteriorgobar	https://datos.mininterior.gob.ar	Datos Abiertos del Ministerio del Interior	Ministerio del Interior	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://www.argentina.gob.ar/interior		active
datosmisionesgobar	https://www.datos.misiones.gob.ar	Portal de Datos Abiertos del Gobierno de Misiones	Gobierno de Misiones	Open data portal	Local government	CKAN	ES	dataset	open	Argentina	government,has_api	active	True	https://misiones.gob.ar		active
