id,uid,link,software_idstatus
gisaaariru,temp00000607,http://gisa.aari.ru:8080/geoserver/web/,geoserver,undetected
gisdornadzorszru,temp00000608,https://gis.dornadzor-sz.ru/drn/rest/services,arcgisserver,undetected
gisesimoru,temp00000609,http://gis.esimo.ru/eko/web/,geoserver,undetected
tcodetinroru,temp00000613,http://tcode.tinro.ru/geonetwork/srv/eng/catalog.search,geonetwork,undetected
vmapsaddressgovsa,temp00000625,https://vmaps.address.gov.sa/agserver/rest/servic,arcgisserver,undetected
sgdcgeoportalgovsd,temp00000630,http://sgdc.geoportal.gov.sd,geonode,undetected
metadatakatalogennaturvardsverketse,temp00000641,https://metadatakatalogen.naturvardsverket.se/metadatakatalogen/,geonetwork,undetected
pxwebumease,temp00000646,https://pxweb.umea.se,pxweb,undetected
libmapsnusedusg,temp00000647,https://libmaps.nus.edu.sg/gis/rest/services,arcgisserver,undetected
mapssurveyesk,temp00000657,https://maps.surveye.sk/geoserver/web/,geoserver,undetected
tajiriskgeonodeaitacth,temp00000684,http://tajirisk.geonode.ait.ac.th,geonode,undetected
opendatadpegoth,temp00000692,https://opendata.dpe.go.th,ckan,undetected
tchgistainangovtw,temp00000698,http://tchgis.tainan.gov.tw:8080/geoserver/web/,geoserver,undetected
18115189211,temp00000714,http://181.15.189.211/layers/,geonode,undetected
eomininscom,temp00000758,https://eominins.com/,geonode,undetected
geodatafnaiorg,temp00000764,https://geodata.fnai.org/,geonode,undetected
geonetworkgridnigeriaorg,temp00000771,https://geonetwork.grid-nigeria.org/geonetwork,geonetwork,undetected
geonodeinasafeorg,temp00000779,http://geonode.inasafe.org/,geonode,undetected
geoserverisciencescom,temp00000789,http://geoserver.isciences.com:8080/geonetwork/srv/en/main.home,geonetwork,undetected
ie2qanimbusnvidiagridnet,temp00000803,https://ie2.qa-nimbus.nvidiagrid.net/,geonode,undetected
mapigismapcom,temp00000809,https://map.igismap.com/gis-data,geonode,undetected
nexuspacificdataorg,temp00000820,https://nexus.pacificdata.org/catalogue/#/search/?f=dataset,geonode,undetected
odpcctegisopendataarcgiscom,temp00000823,https://odp-cctegis.opendata.arcgis.com/,arcgisserver,undetected
planeacionvalleiplanegnet,temp00000829,https://planeacionvalle.iplaneg.net/,geonode,undetected
reseautchadorg,temp00000832,http://reseau-tchad.org:8080/geonetwork/srv/rus/catalog.search#/home,geonetwork,undetected
wwwgeosedascom,temp00000856,https://www.geosedas.com,geonode,undetected
wwwgeosourcereseauzoneshumidesorg,temp00000857,http://www.geosource.reseau-zones-humides.org/geosource/srv/rus/catalog.search#/home,geonetwork,undetected
ckancabiorg,temp00000899,https://ckan.cabi.org,ckan,undetected
ckanodptorg,temp00000905,https://ckan.odpt.org,ckan,undetected
cloudcsissgmuedu,temp00000909,https://cloud.csiss.gmu.edu/uddi/sv/,ckan,undetected
dataklldevorg,temp00000918,http://data.klldev.org/,ckan,undetected
datanuevanacioncom,temp00000922,http://data.nuevanacion.com,ckan,undetected
datosaronaorg,temp00000931,http://datos.arona.org/dataset,ckan,undetected
