name,length,fixed,c
SAS,3,SAS,3
CZE,3,CZE,3
DE-HB,5,DE-HB,3
BL,2,,3
IA,2,,3
ID-PA,5,ID-PA,3
CA-YT,5,CA-YT,3
---,3,---,3
FR-34,5,FR-34,3
CN-GD,5,CN-GD,3
ID-YO,5,ID-YO,3
NZ-TKI,6,NZ-TKI,3
IT,2,,3
JP-01,5,JP-01,3
MOW,3,MOW,3
DK-82,5,DK-82,3
BEL,3,BEL,3
NL-FL,5,NL-FL,3
AT-2,4,AT-2,3
NS,2,,3
CH,2,,3
JP-09,5,JP-09,3
PT-30,5,PT-30,3
CN-HK,5,CN-HK,3
IT-32,5,IT-32,3
FR-A,4,FR-A,3
ID-KT,5,ID-KT,3
CO-CUN,6,CO-CUN,3
UY,2,,3
DF,2,,3
EMEA,4,,3
IT-36,5,IT-36,3
EE,2,,3
GR-A,4,GR-A,3
JAM,3,JAM,3
JP-34,5,JP-34,3
UZB,3,UZB,3
VN-SG,5,VN-SG,3
CAN-BC,6,CAN-BC,3
SG,2,,3
ES-B,4,ES-B,3
TUN,3,TUN,3
AT-6,4,AT-6,3
ARE,3,ARE,3
MX-NLE,6,MX-NLE,3
RU-SPE,6,RU-SPE,3
TW-TPE,6,TW-TPE,3
AE-DU,5,AE-DU,3
VLI,3,VLI,3
FI-ES,5,FI-ES,3
RU-YAN,6,RU-YAN,3
NZ-OTA,6,NZ-OTA,3
HI,2,,3
ES-EX,5,ES-EX,3
Pays de la Loire,16,,3
ID-BE,5,ID-BE,3
ID-MU,5,ID-MU,3
AS,2,,3
CR-SJ,5,CR-SJ,3
LAC,3,LAC,3
GE,2,,3
IT-23,5,IT-23,3
GB-SHF,6,GB-SHF,3
AF-W,4,AF-W,3
CN-SH,5,CN-SH,3
SN,2,,3
Not specified in URL,20,,3
FR-76,5,FR-76,3
PAN,3,PAN,3
RJ,2,,3
IT-42,5,IT-42,3
PT,2,,3
RU-TA,5,RU-TA,3
GES,3,GES,3
TOS,3,TOS,3
YT,2,,3
OCE,3,OCE,3
None,4,,3
FR-53,5,FR-53,3
SA-02,5,SA-02,3
NSW,3,NSW,3
FR-ARA,6,FR-ARA,3
US-XX,5,US-XX,3
CN-JS,5,CN-JS,3
CA-NL,5,CA-NL,3
IT-25,5,IT-25,3
NZ-HKB,6,NZ-HKB,3
IN-KL,5,IN-KL,3
Africa,6,Africa,3
ES,2,,3
NO-30,5,NO-30,3
FI-11,5,FI-11,3
DNK,3,DNK,3
AK,2,,3
AT-3,4,AT-3,3
