nom de plateforme,ok,Région,grappe,type,collab,url,Lien,image,nb_datasets,techno,dev,Couverture,Porteur,porteur_type,porteur_statut,porteur_siren,theme
Cannes,checked,Provence-Alpes-Côte d'Azur,,Portail,Dédié,https://data.cannes.com,https://data.cannes.com,cannes.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/lW-GBALfucOTYLLJoGqaGg/tCAMI1hWI5MzeA0b8ZrZGS5iC-2A47cW8Pxufymog9w-BBH0yYpWmCnumXx7BP1MYC3lD4Zp8FaWpDvQwhnJBRbsY-ZHK3cJrD1pZU8mP7xl1X1gvT2ugAzPFRMNCY4A3RLOcOMEOlv04aSnPk_1Vg/Ofiah-zWqZS9vI02yVipyb-q-UpHRJPxsp8V2DoXLmk),136,OpenDataSoft,ods,Communale,https://annuaire-entreprises.data.gouv.fr/entreprise/210600292,Collectivité locale,COM,210600292,Généraliste
Data Sud,checked,Provence-Alpes-Côte d'Azur,,Portail,Mutualisé,https://www.datasud.fr,https://www.datasud.fr,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/OzB_dFuoNr4dlH9T2D-fxg/93G8T_rsPdNVN6jhKITNNh1s9fhrqtl6t7DKW9WbPoN4yCjQyL0wv3rih-P38bYTj_zAWfWvWtRMHj64USUJJ2bu10xXTm2hHaK2vf6uC6RarErrHYTADMrO1Eq1l_seP0HqRlGqx7erTMrnH1-MAw/ESb5N7GeYf9zerkXz7AaWzVQj_ib4WDrOaHfCiTuSGQ),1891,Onegeo Suite,neogeo,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/231300021,Collectivité locale,REG,231300021,Généraliste
Fos-sur-Mer,checked,Provence-Alpes-Côte d'Azur,,Portail,Dédié,https://fos-sur-mer.opendatasoft.com,https://fos-sur-mer.opendatasoft.com,téléchargement.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/yhi2N-pd1xMASALluvU54Q/gn9lU6GfetlupOB5VvP-Jz745yZW4D-OalT3RkKlmbMM406db7wBMGL_e6pLIlYWwHCyAG7vzNsyhofnf_DWnq-xsTIiV7_NHjIsKmXFnHQjNJxtN5XyxO0Tusi2Hg96E_OBejyA52lSUmtSjWftjQ/wMiq1KnFqHOJqrytLwryOpMQZD4F4pHT8BuneJhQVI4),7,OpenDataSoft,ods,Communale,https://annuaire-entreprises.data.gouv.fr/entreprise/211300397,Collectivité locale,COM,211300397,Généraliste
Istres,checked,Provence-Alpes-Côte d'Azur,,Site web,Dédié,https://www.istres.fr/index.php?id=618,https://www.istres.fr/index.php?id=618,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/pvkwRaETQxwMBiCmy60r5w/uzmCgQd86BNcEIXA4qCBXGxeuy5c5KKqJRgBzkaEyxo0mzvg-64iyLSs7xicKqIPp9JVjTn-sdbmyf8PI64kkDVSBhrcwhMEjrZkAr49_BUgK53gSZvSl31QB9uyTlQI2Cv7rbXKO-jNzpBXRFGO5g/cYbPMpmmTiR7eSk3sy1ItSEzS_AUDvF730gnxKv4Dbc),33,Typo3,interne,Communale,https://annuaire-entreprises.data.gouv.fr/entreprise/211300470,Collectivité locale,COM,211300470,Généraliste
Métropole AMP,checked,Provence-Alpes-Côte d'Azur,,Portail,Dédié,https://data.ampmetropole.fr,https://data.ampmetropole.fr,ampmetropole.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/RGRV8KKDlZobjt8NTGkqqQ/tONL0bPiDZ-tfpg-ZGqqDK0SMaMC84vkITV6u5QTUljiSD_ZukLbR3QYxLZRVu5PWC1oHL5GLazA6XIxHs0bYbiYBsyK_GulfQu_4PwI_8p33stCgdLIfv4h9wuXyTPxzuxYCB4PiQYM0jIe8pIrZw/yVOtAm3MbFEJKb1gG8BHZiNhYpIEJXBHjqpbXLI_tmQ),218,OpenDataSoft,ods,Métropolitaine,https://annuaire-entreprises.data.gouv.fr/entreprise/200054807,Collectivité locale,MET,200054807,Généraliste
Métropole NCA,checked,Provence-Alpes-Côte d'Azur,,Portail,Partagé,http://opendata.nicecotedazur.org,http://opendata.nicecotedazur.org,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/TWyfu_mWvKAnME33ewcm_Q/w_yDg1yz3S0b5Wbl7KAhKNHRCkSmqsZi-wi-TDzaMn23GUDu1O9-j2tOASFyuDINQVQCqHz5Dud4HQGSk1wZxX4OKmCl0ZeH9enBLZRzoxVHjMd6nhm8sOQfXwkistkufcccLm8XhOhilxU7LXGTSA/5BE9y5sfW1wY1yzVewtg7t1zYktTLceLMHkd1JkjmTk),262,CKAN,interne,Métropolitaine,https://annuaire-entreprises.data.gouv.fr/entreprise/200030195,Collectivité locale,MET,200030195,Généraliste
Métropole TPM,checked,Provence-Alpes-Côte d'Azur,,Portail,Dédié,https://data.metropoletpm.fr,https://data.metropoletpm.fr,MET TPM.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/dOjTd6M0wBnRfhr7tbhHGQ/e0R3Ky3m5gf1hBVoZtFzczXBUE42tCd5p_AerGizSC32THAN9qyzm2B9WSEnyowHIp0tDiffWVqL-6ysYIZ5VoHU3PgGtncLhSSj87ycM-HHnBGwIxPMigKVSbIpmdTAi2bL85BiTF2x54jRB9tUHg/RUu0CI1LS1PZ65Q2tAB7gYCrUwdIskiWXy4diM6Rmi0),19,ArcGIS,esri,Métropolitaine,https://annuaire-entreprises.data.gouv.fr/entreprise/248300543,Collectivité locale,MET,248300543,Généraliste
SICTIAM,checked,Provence-Alpes-Côte d'Azur,,Portail,Mutualisé,https://opendata.sictiam.fr,https://opendata.sictiam.fr,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/W7veG9KCeUNah21q1TB8OQ/EwQC0HsjBQZS8an5TfS-GQ_4YIDkNMA-jbVllUct-U5tV1tzgk1WlZcQFKpwumPL3qVC9bIrWtOLdyTUX0T2UxMsCQxnCgJtRmEhfT3uAynkPn7vdxeiIvp-05XTlqWgnnPsBXKKTe8CSgUwghAa7A/J6EPIdmZHO1aun0RGYzeFP7ZyUx2DdEpA7Lhpc4xODU),44,CKAN,ozwillo,Départementale,https://annuaire-entreprises.data.gouv.fr/entreprise/250601879,Collectivité locale,AGCT,250601879,Généraliste
CRIGE PACA,checked,Provence-Alpes-Côte d'Azur,IDG,Géoportail,Partenarial,https://trouver.crige-paca.org,https://trouver.crige-paca.org,crige_paca.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/TnxIPi8AXVW_oFSho15XNQ/YScaMDCYGV7Nz0euetBBf1Mp-jvW1MwaKFSGNXjBkUJBZnmzjybespT6CLM8Fsn4RvVQmacxSH0872RU3R8vEAP69SEhT91yT_1eTM2SBX4tXQ2lwgPLT6KFVzC-eWUSED-vZI-Vd-K4xur2Ckbymw/bYEQE6cOqlMHV6VkyfuBKk1tka5_aWJpUmpAGWFiaMw),1280,Onegeo Suite,neogeo,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/450675772,Collectivité locale,OACT,450675772,Généraliste
KaruData,checked,Guadeloupe,,Portail,Dédié,https://www.karudata.com,https://www.karudata.com,guadeloupe.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/cEL8lSC_6FGNQivzUn9mcw/9HO_c1XRuLHGRwiuKoEDfkKXz4UW0av4wfsZ1XPNu7nrYDmbSWsFZgkwbV1kbWk_WILuj7aLEF_1FZx_b_VoSCb29kVI4jQWa51kk0lkthRaupobjyoLs7NqF7ADntotSxdNDjwpSPaod6Iaj3n-8Q/mjGM95y9NlmsXbO-tq_a6cS_is3xT4DO91WN1j71Jyw),89,OpenDataSoft,ods,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/239710015,Collectivité locale,REG,239710015,Généraliste
