country_code,country_name,catalog_name,catalog_id,catalog_type,owner_type,is_federal_path,link,file_path,priority
NG,Nigeria,The Geo-Referenced Infrastructure and Demographic Data for Development (GRID3) programme geodata catalog,geonetworkgrid3govng,Geoportal,Central government,Yes,https://geonetwork.grid3.gov.ng/geonetwork,data/entities/NG/Federal/geo/geonetworkgrid3govng.yaml,MEDIUM
NG,Nigeria,Nigeria SE4ALL Data Catalog,datanigeriase4allgovng,Geoportal,Central government,Yes,https://data.nigeriase4all.gov.ng,data/entities/NG/Federal/geo/datanigeriase4allgovng.yaml,MEDIUM
NG,Nigeria,eHealth Africa geoportal,gisgeonetworkehealthafricaorg,Geoportal,Business,Yes,https://gis-geonetwork.ehealthafrica.org/geonetwork,data/entities/NG/Federal/geo/gisgeonetworkehealthafricaorg.yaml,MEDIUM
NG,Nigeria,Nigerian Geodata Centre Catalogue,nigeriangeodatacentrebgsacuk,Geoportal,Central government,Yes,https://nigerian-geodata-centre.bgs.ac.uk/geonetwork,data/entities/NG/Federal/geo/nigeriangeodatacentrebgsacuk.yaml,MEDIUM
CR,Costa Rica,PRIAS CENAT Monitoring Portal (Geonetwork),monitoreopriascenataccr,Geoportal,Academy,No,https://monitoreo.prias.cenat.ac.cr/geonetwork,data/entities/CR/geo/monitoreopriascenataccr.yaml,MEDIUM
CR,Costa Rica,"Instituto Nacional de Estadística y Censos (INEC), Costa Rica - PAD5 Data Catalog",sistemasineccr,Microdata catalog,Central government,Yes,http://sistemas.inec.cr/pad5/index.php,data/entities/CR/Federal/microdata/sistemasineccr.yaml,MEDIUM
CR,Costa Rica,Catálogo Central de Datos - INEC (Costa Rica),datosabiertosineccr,Open data portal,Central government,Yes,https://datosabiertos.inec.cr,data/entities/CR/Federal/opendata/datosabiertosineccr.yaml,MEDIUM
CR,Costa Rica,geoportal-saracc.cne.go.cr,geoportalsaracccnegocr,Geoportal,Central government,Yes,https://geoportal-saracc.cne.go.cr,data/entities/CR/Federal/geo/geoportalsaracccnegocr.yaml,MEDIUM
CR,Costa Rica,Dirección de Aguas Data Portal,mapasdagocr,Geoportal,Central government,Yes,http://mapas.da.go.cr/geonetwork,data/entities/CR/Federal/geo/mapasdagocr.yaml,MEDIUM
CR,Costa Rica,Repositorio TECdatos,dataversetecaccr,Scientific data repository,Academy,Yes,https://dataverse.tec.ac.cr,data/entities/CR/Federal/scientific/dataversetecaccr.yaml,MEDIUM
CR,Costa Rica,Portal de datos abiertos Santa Ana (CR),datosabiertossantaanagocr,Open data portal,Local government,No,https://datosabiertos.santaana.go.cr,data/entities/CR/CR-SJ/opendata/datosabiertossantaanagocr.yaml,MEDIUM
NP,Nepal,National statistics office Nepal Microdata Catalog,microdatacbsgovnp,Microdata catalog,Central government,Yes,http://microdata.cbs.gov.np/index.php,data/entities/NP/Federal/microdata/microdatacbsgovnp.yaml,MEDIUM
NP,Nepal,National Data Portal-Nepal,nationaldatagovnp,Indicators catalog,Central government,Yes,http://nationaldata.gov.np,data/entities/NP/Federal/indicators/opendatanepalcom.yaml,MEDIUM
NP,Nepal,Open Data Nepal,opendatanepalcom,Open data portal,Civil society,Yes,https://opendatanepal.com,data/entities/NP/Federal/opendata/opendatanepalcom.yaml,MEDIUM
NP,Nepal,National Statistics Office of Nepal Data Catalog,datansonepalgovnp,Open data portal,Central government,Yes,https://data.nsonepal.gov.np,data/entities/NP/Federal/opendata/datansonepalgovnp.yaml,MEDIUM
NP,Nepal,NTNC geoportal,geoportalntncorgnp,Geoportal,Central government,Yes,http://geoportal.ntnc.org.np,data/entities/NP/Federal/geo/geoportalntncorgnp.yaml,MEDIUM
NP,Nepal,National Spatial Data Center Geoportal,adminnationalgeoportalgovnp,Geoportal,Central government,Yes,https://admin.nationalgeoportal.gov.np,data/entities/NP/Federal/geo/adminnationalgeoportalgovnp.yaml,MEDIUM
NP,Nepal,Nepal National Spatial Data Center Geoportal,nationalgeoportalgovnp,Geoportal,Central government,Yes,https://nationalgeoportal.gov.np,data/entities/NP/Federal/geo/nationalgeoportalgovnp.yaml,MEDIUM
FO,Faroe Islands,SDG Data Catalog (hagstova.fo),sdghagstovafo,Indicators catalog,Central government,No,https://sdg.hagstova.fo/,data/entities/FO/indicators/sdghagstovafo.yaml,MEDIUM
FO,Faroe Islands,Statbank Hagstova Føroya,statbankhagstovafo,Indicators catalog,Central government,No,https://statbank.hagstova.fo,data/entities/FO/indicators/statbankhagstovafo.yaml,MEDIUM
FO,Faroe Islands,gis.us.fo/arcgis/rest/services,gisusfo,Geoportal,Central government,No,https://gis.us.fo/arcgis/rest/services,data/entities/FO/geo/gisusfo.yaml,MEDIUM
FO,Faroe Islands,Faroe Islands Tórshavn GIS Data Catalog,gistorshavnfo,Geoportal,Regional government,No,https://gis.torshavn.fo/arcgis/rest/services,data/entities/FO/geo/gistorshavnfo.yaml,MEDIUM
FO,Faroe Islands,gis.lv.fo/arcgis/rest/services,gislvfo,Geoportal,Central government,No,https://gis.lv.fo/arcgis/rest/services,data/entities/FO/geo/gislvfo.yaml,MEDIUM
FO,Faroe Islands,Kort.fo ArcGIS REST Services,srv8kortfo,Geoportal,Central government,No,http://srv8.kort.fo/arcgis/rest/services,data/entities/FO/geo/srv8kortfo.yaml,MEDIUM
FO,Faroe Islands,SEV ArcGIS Server,agisportalsevfo,Geoportal,Business,No,https://agisportal.sev.fo/arcgis/rest/services,data/entities/FO/geo/agisportalsevfo.yaml,MEDIUM
ET,Ethiopia,ATI Data portal,dataatagovet,Open data portal,Central government,No,http://data.ata.gov.et,data/entities/ET/opendata/dataatagovet.yaml,MEDIUM
ET,Ethiopia,Ethiopian National Agri Data Hub,datamoagovet,Open data portal,Central government,No,https://data.moa.gov.et,data/entities/ET/opendata/datamoagovet.yaml,MEDIUM
ET,Ethiopia,lbdcdirectory.gov.et,lbdcdirectorygovet,Geoportal,Central government,No,http://lbdcdirectory.gov.et,data/entities/ET/geo/lbdcdirectorygovet.yaml,MEDIUM
ET,Ethiopia,Ethiopia NSDI,wwwethionsdigovet,Geoportal,Central government,No,http://www.ethionsdi.gov.et,data/entities/ET/geo/wwwethionsdigovet.yaml,MEDIUM
ET,Ethiopia,Ethiopian Biodiversity Institute Geoportal,geoportalebigovet,Geoportal,Central government,No,http://geo.portal.ebi.gov.et,data/entities/ET/geo/geoportalebigovet.yaml,MEDIUM
ET,Ethiopia,National Academic Digital Library of Ethiopia (NADLE),nadreetherneteduet,Scientific data repository,Central government,No,https://nadre.ethernet.edu.et,data/entities/ET/scientific/nadreetherneteduet.yaml,MEDIUM
RW,Rwanda,National institute of statistics of Rwanda microdata,microdatastatisticsgovrw,Microdata catalog,Central government,No,https://microdata.statistics.gov.rw,data/entities/RW/microdata/microdatastatisticsgovrw.yaml,MEDIUM
RW,Rwanda,National institute of statistics of Rwanda Statistical Database (Beta),pxwebstatisticsgovrw,Indicators catalog,Central government,No,https://pxweb.statistics.gov.rw,data/entities/RW/indicators/pxwebstatisticsgovrw.yaml,MEDIUM
RW,Rwanda,Rwanda National Spatial Data Infrastructure (NSDI) - RLA Hub,nsdirlahubarcgiscom,Geoportal,Central government,No,https://nsdi-rla.hub.arcgis.com/,data/entities/RW/geo/nsdirlahubarcgiscom.yaml,MEDIUM
RW,Rwanda,University of Rwanda geoportal,geonoderbisuracrw,Geoportal,Academy,No,http://geonode.rbis.ur.ac.rw,data/entities/RW/geo/geonoderbisuracrw.yaml,MEDIUM
RW,Rwanda,Rwanda SDG Hub,rwandasdghubarcgiscom,Geoportal,Central government,No,https://rwanda-sdg.hub.arcgis.com/,data/entities/RW/geo/rwandasdghubarcgiscom.yaml,MEDIUM
RW,Rwanda,Geoportal Rwanda Water and Forestry Authority (RWFA),wwwgeoportalrwbrw,Geoportal,Central government,No,https://www.geoportal.rwb.rw,data/entities/RW/geo/wwwgeoportalrwbrw.yaml,MEDIUM
ZM,Zambia,Zambia National Data Archive (Microdata),nadazamstatsgovzm,Microdata catalog,Central government,No,https://nada.zamstats.gov.zm,data/entities/ZM/microdata/nadazamstatsgovzm.yaml,MEDIUM
ZM,Zambia,Zambia Data Hub,zambiansdimlnrhubarcgiscom,Geoportal,Central government,No,https://zambia-nsdi-mlnr.hub.arcgis.com/,data/entities/ZM/geo/zambiansdimlnrhubarcgiscom.yaml,MEDIUM
ZM,Zambia,Zambia national spatial data infrastructure,wwwmapgovzm,Geoportal,Central government,No,https://www.map.gov.zm,data/entities/ZM/geo/wwwmapgovzm.yaml,MEDIUM
ZM,Zambia,National Spatial Data Infrastructure of Zambia ArcGIS server,wwwnsdimlnrepgovzm,Geoportal,Central government,No,http://www.nsdi.mlnrep.gov.zm/arcgis/rest/services,data/entities/ZM/geo/wwwnsdimlnrepgovzm.yaml,MEDIUM
ZM,Zambia,Zambia - WIS 2.0 in a box,zmdwis2boxmgeegovzm,Geoportal,Central government,No,https://zmdwis2box.mgee.gov.zm,data/entities/ZM/geo/zmdwis2boxmgeegovzm.yaml,MEDIUM
BY,Belarus,ArcGIS REST Services Directory,mogilevgismapby,Geoportal,Local government,No,https://mogilev.gismap.by/arcgis/rest/services,data/entities/BY/BY-MA/geo/mogilevgismapby.yaml,MEDIUM
BY,Belarus,"National Park ""Narochansky"" ArcGIS Server",gisooptby,Geoportal,Regional government,No,https://gisoopt.by/arcgis/rest/services,data/entities/BY/BY-MI/geo/gisooptby.yaml,MEDIUM
BY,Belarus,Interactive business intelligence system for distribution of official statistical information,dataportalbelstatgovby,Indicators catalog,Central government,Yes,http://dataportal.belstat.gov.by,data/entities/BY/Federal/indicators/dataportalbelstatgovby.yaml,MEDIUM
BY,Belarus,Открытые данные Беларусь,opendataby,Open data portal,Community,Yes,https://opendata.by,data/entities/BY/Federal/opendata/opendataby.yaml,MEDIUM
BY,Belarus,geo.by Geoserver Data Catalog,metageoby,Geoportal,Central government,Yes,https://meta.geo.by/geoserver,data/entities/BY/Federal/geo/metageoby.yaml,MEDIUM
IR,Iran,Peykaregan Dataset Catalog,wwwpeykareganir,Open data portal,Academy,Yes,https://www.peykaregan.ir/dataset/,data/entities/IR/Federal/opendata/wwwpeykareganir.yaml,MEDIUM
IR,Iran,Making Iranian Data Publicly Available,iranopendataorg,Open data portal,Civil society,Yes,https://iranopendata.org,data/entities/IR/Federal/opendata/iranopendataorg.yaml,MEDIUM
IR,Iran,National data and geodata catalog,catalogdatagovir,Open data portal,Central government,Yes,https://catalog.data.gov.ir,data/entities/IR/Federal/opendata/catalogdatagovir.yaml,MEDIUM
IR,Iran,Geoportal of Iranian national data infrastructure,iransdinccgovir,Geoportal,Central government,Yes,https://iransdi.ncc.gov.ir/geoserver,data/entities/IR/Federal/geo/iransdinccgovir.yaml,MEDIUM
IR,Iran,IMB Open Data,goimbopendataarcgiscom,Geoportal,Civil society,Yes,https://go-imb.opendata.arcgis.com,data/entities/IR/Federal/geo/goimbopendataarcgiscom.yaml,MEDIUM
OM,Oman,GCC-Stat Data Portal,dpmarsagccstatorg,Indicators catalog,International,No,https://dp.marsa.gccstat.org,data/entities/OM/indicators/dpmarsagccstatorg.yaml,MEDIUM
OM,Oman,National Centre For Statistics & Information Data Portal (Oman),datagovom,Indicators catalog,Central government,No,https://data.gov.om,data/entities/OM/indicators/datagovom.yaml,MEDIUM
OM,Oman,GCC-STAT Fusion Registry,sdmxmarsagccstatorg,Metadata catalog,International,No,https://sdmx.marsa.gccstat.org/FusionRegistry/,data/entities/OM/indicators/sdmxmarsagccstatorg.yaml,MEDIUM
OM,Oman,National statistics and information Oman Geoportal,nsdig2gappsncsigovom,Geoportal,Central government,No,http://nsdig2gapps.ncsi.gov.om:8080/geoportal,data/entities/OM/geo/nsdig2gappsncsigovom.yaml,MEDIUM
OM,Oman,MZEC Geo-Portal,mzgisportalmzeccoom,Geoportal,Business,No,https://mzgisportal.mzec.co.om/server/rest/services,data/entities/OM/geo/mzgisportalmzeccoom.yaml,MEDIUM
GL,Greenland,Greenland Statistics Data Catalog,bankstatgl,Indicators catalog,Central government,No,https://bank.stat.gl/pxweb/en/,data/entities/GL/indicators/bankstatgl.yaml,MEDIUM
GL,Greenland,MRA GeoServer,gisgovmingl,Geoportal,Central government,No,https://gis.govmin.gl/geoserver/web/,data/entities/GL/geo/gisgovmingl.yaml,MEDIUM
GL,Greenland,Regional Baseline Assessments,rbaeamragl,Geoportal,Central government,No,https://rba.eamra.gl/,data/entities/GL/geo/rbaeamragl.yaml,MEDIUM
GL,Greenland,NunaGIS - kort.nunagis.gl,kortnunagisgl,Geoportal,Central government,No,https://kort.nunagis.gl/server/rest/services,data/entities/GL/geo/kortnunagisgl.yaml,MEDIUM
GL,Greenland,Nukissiorfiit ArcGIS Server,portalnukissiorfiitgl,Geoportal,Business,No,https://portal.nukissiorfiit.gl/arcgisserver/rest/services,data/entities/GL/geo/portalnukissiorfiitgl.yaml,MEDIUM
TZ,Tanzania,Ifakara Health Institute Data Repository,dataihiortz,Microdata catalog,Academy,No,https://data.ihi.or.tz,data/entities/TZ/microdata/dataihiortz.yaml,MEDIUM
TZ,Tanzania,Tanzania Microdata Catalog National Data Archive,wwwnbsgotz,Microdata catalog,Central government,No,https://www.nbs.go.tz/tnada,data/entities/TZ/microdata/wwwnbsgotz.yaml,MEDIUM
TZ,Tanzania,Resilience Academy’s Climate Risk Database (CRD) Tanzania,geonoderesilienceacademyactz,Geoportal,Central government,No,https://geonode.resilienceacademy.ac.tz,data/entities/TZ/geo/geonoderesilienceacademyactz.yaml,MEDIUM
TZ,Tanzania,TANESCO ArcGIS REST Services,gistanescocotz,Geoportal,Business,No,https://gis.tanesco.co.tz/server/rest/services,data/entities/TZ/geo/gistanescocotz.yaml,MEDIUM
TZ,Tanzania,Tanzania National Biodiversity Data Portal data sets,collectionstanbifcostechortz,Geoportal,Academy,No,https://collections.tanbif.costech.or.tz/datasets,data/entities/TZ/scientific/collectionstanbifcostechortz.yaml,MEDIUM
BW,Botswana,Statistics Botswana Micro Data Portal,microdatastatsbotsorgbw,Microdata catalog,Central government,No,https://microdata.statsbots.org.bw,data/entities/BW/microdata/microdatastatsbotsorgbw.yaml,LOW
BW,Botswana,Botswana GeoPortal - Powered by esri,botswanaafricageoportalcom,Geoportal,Business,No,https://botswana.africageoportal.com/,data/entities/BW/geo/botswanaafricageoportalcom.yaml,LOW
BW,Botswana,Botswana Mining Cadastre Portal,gisminingcadastregovbw,Geoportal,Regional government,No,https://gis.miningcadastre.gov.bw/arcgis/rest/services,data/entities/BW/geo/gisminingcadastregovbw.yaml,LOW
BW,Botswana,Botswana Harvard Data,dataversebhporgbw,Scientific data repository,Academy,No,https://dataverse.bhp.org.bw,data/entities/BW/scientific/dataversebhporgbw.yaml,LOW
DZ,Algeria,Algeria - WIS 2.0 in a box,ametwis2boxmeteodz,Geoportal,Central government,No,https://ametwis2box.meteo.dz,data/entities/DZ/geo/ametwis2boxmeteodz.yaml,LOW
DZ,Algeria,PAUWES Data Portal,dataportalpauwesdz,Geoportal,Academy,No,https://dataportal.pauwes.dz/geonetwork,data/entities/DZ/geo/dataportalpauwesdz.yaml,LOW
DZ,Algeria,GeoWeba Transformatek,geowebatransformatekdz,Geoportal,Business,No,https://geoweba.transformatek.dz,data/entities/DZ/geo/geowebatransformatekdz.yaml,LOW
DZ,Algeria,COVID19 Wilaya de Guelma Achaouki Bedoud,covid19wilayadeguelmaachaoukibedoudhubarcgiscom,Geoportal,Local government,No,https://covid19-wilaya-de-guelma-achaouki-bedoud.hub.arcgis.com/,data/entities/Unknown/geo/covid19wilayadeguelmaachaoukibedoudhubarcgiscom.yaml,LOW
MG,Madagascar,Protected Areas of Madagascar geoserver,protectedareasmg,Geoportal,Community,No,https://protectedareas.mg/geoserver,data/entities/MG/geo/protectedareasmg.yaml,LOW
MG,Madagascar,GFDRR Madagascar geonode,wwwresiliencemadagovmg,Geoportal,Central government,No,https://www.resiliencemada.gov.mg,data/entities/MG/geo/wwwresiliencemadagovmg.yaml,LOW
MG,Madagascar,Hay Natiora,wwwhaynatioramg,Geoportal,Central government,No,https://www.haynatiora.mg/,data/entities/MG/geo/wwwhaynatioramg.yaml,LOW
MG,Madagascar,The Communication Technologies Regulatory Authority (ARTEC) geoserver,artecmg,Geoportal,Central government,No,https://protectedareas.mg/geoserver,data/entities/MG/geo/artecmg.yaml,LOW
NA,Namibia,Namibia Statistics Agency. An online microdata catalog,nadansaorgna,Microdata catalog,Central government,No,https://nada.nsa.org.na,data/entities/NA/microdata/nadansaorgna.yaml,LOW
NA,Namibia,BCC Data Portal,databenguelaccorg,Open data portal,International,No,https://data.benguelacc.org/,data/entities/NA/opendata/databenguelaccorg.yaml,LOW
NA,Namibia,Namibia - WIS 2.0 in a box,wis2boxmeteonacom,Geoportal,Central government,No,http://wis2box.meteona.com,data/entities/NA/geo/wis2boxmeteonacom.yaml,LOW
NA,Namibia,Benguela Current Convention GeoData Portal,geodatabenguelaccorg,Geoportal,International,No,https://geodata.benguelacc.org,data/entities/NA/geo/geodatabenguelaccorg.yaml,LOW
SN,Senegal,ANADS (Agence Nationale de la Statistique et de la Démographie du Senegal),anadsansdsn,Microdata catalog,Central government,No,http://anads.ansd.sn,data/entities/SN/microdata/anadsansdsn.yaml,LOW
SN,Senegal,Senegal SDG Hub - ArcGIS,senegal2sdghubarcgiscom,Geoportal,International,No,https://senegal2-sdg.hub.arcgis.com/,data/entities/Unknown/geo/senegal2sdghubarcgiscom.yaml,LOW
SN,Senegal,Données Ouvertes ITIE Sénégal,donneesitiesn,Open data portal,Civil society,Yes,https://donnees.itie.sn,data/entities/TN/Federal/opendata/donneesitiesn.yaml,LOW
SN,Senegal,Senegal Mining Cadastre Map Portal – Trimble Landfolio,landfoliocadastreminiersenegalsn,Geoportal,Central government,Yes,https://landfolio.cadastreminiersenegal.sn/arcgis/rest/services,data/entities/TN/Federal/geo/landfoliocadastreminiersenegalsn.yaml,LOW
BZ,Belize,app.sib.org.bz:8443/ords/f?p=134:1:11725542973290:::::,appsiborgbz,Indicators catalog,Central government,No,https://app.sib.org.bz:8443/ords/f?p=134:1:11725542973290:::::,data/entities/BZ/indicators/appsiborgbz.yaml,LOW
BZ,Belize,Belize - WIS 2.0 in a box,wisnmsgovbz,Geoportal,Central government,No,http://wis.nms.gov.bz,data/entities/BZ/geo/wisnmsgovbz.yaml,LOW
BZ,Belize,gis-education-tbsl.opendata.arcgis.com,giseducationtbslopendataarcgiscom,Geoportal,Business,No,https://gis-education-tbsl.opendata.arcgis.com,data/entities/BZ/geo/giseducationtbslopendataarcgiscom.yaml,LOW
BZ,Belize,Belize AFI and BCM/NSTM Study Hub,belizeafistudybcmnstmhubarcgiscom,Geoportal,Academy,No,https://belizeafistudy-bcm-nstm.hub.arcgis.com/,data/entities/BZ/geo/belizeafistudybcmnstmhubarcgiscom.yaml,LOW
MM,Myanmar,Myanmar Statistical Information Service,wwwmmsisgovmm,Indicators catalog,Central government,No,https://www.mmsis.gov.mm,data/entities/MM/indicators/wwwmmsisgovmm.yaml,LOW
MM,Myanmar,Myanmar Biodiversity Portal,wwwmyanmarbiodiversityorg,Open data portal,Civil society,No,https://www.myanmarbiodiversity.org/,data/entities/MM/opendata/wwwmyanmarbiodiversityorg.yaml,LOW
MM,Myanmar,Data Catalog - MMAnalytics.org,datammanalyticsorg,Open data portal,Civil society,No,https://data.mmanalytics.org,data/entities/MM/opendata/datammanalyticsorg.yaml,LOW
MM,Myanmar,Myanmar Information Management Unit geonode,geonodethemimuinfo,Geoportal,Civil society,No,https://geonode.themimu.info,data/entities/MM/geo/geonodethemimuinfo.yaml,LOW
Africa,Africa,UEMOA Online Microdata Library,phmecvuemoaint,Microdata catalog,International,No,https://phmecv.uemoa.int/nada/index.php,data/entities/Africa/microdata/phmecvuemoaint.yaml,LOW
Africa,Africa,African Development Bank Microdata Catalog,microdatacatalogafdborg,Microdata catalog,International,No,https://microdata-catalog.afdb.org,data/entities/Africa/microdata/microdatacatalogafdborg.yaml,LOW
Africa,Africa,Africa Largest Volunteer Driven Open Data Platform,openafricanet,Open data portal,Civil society,No,https://openafrica.net,data/entities/Africa/opendata/openafricanet.yaml,LOW
Africa,Africa,Africa Data Hub CKAN Repository,ckanafricadatahuborg,Open data portal,Community,No,https://ckan.africadatahub.org,data/entities/Africa/opendata/ckanafricadatahuborg.yaml,LOW
ZW,Zimbabwe,Zimbabwe National Statistics Agency (ZIMSTAT) An Online Microdata Catalog,nadazimstatcozw,Microdata catalog,Central government,No,https://nada.zimstat.co.zw,data/entities/ZW/microdata/nadazimstatcozw.yaml,LOW
ZW,Zimbabwe,Zimbabwe Electrification Platform SDI,zetdcsdizedccozw,Geoportal,Business,No,https://zetdcsdi.zedc.co.zw:5443/,data/entities/ZW/geo/zetdcsdizedccozw.yaml,LOW
