dbid,name,link,langs,catalog_type,access_mode,content_types,countries,owner_type,software,export_standard,add_date,update_date,catalog_export,description,owner_name,owner_link,search_index,storage_volume,dataset_count,api,api_link
13017967140,LWBIN Data HUB,130.179.67.140,EN,Open data portal,Open,Dataset,Canada,Government,CKAN,CKAN API,,,,,,,,,,checked,http://130.179.67.140/api/3
acikveribizizmircom,acikveri.bizizmir.com,acikveri.bizizmir.com,TR,Open data portal,Open,Dataset,Turkey,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
adrunaidsorg,AIDS Data Repository,adr.unaids.org,EN,Open data portal,Open,Dataset,World,International,CKAN,CKAN API,,,,,,,,,,checked,https://adr.unaids.org/api/3
africaopendataorg,openAFRICA,africaopendata.org,EN,Open data portal,Open,Dataset,Africa,,CKAN,CKAN API,,,,,,,,,,checked,https://africaopendata.org/api/3
agridatatn,AgriDATA,agridata.tn,FR,Open data portal,Open,Dataset,Tunis,Government,CKAN,CKAN API,,,,,,,,,,checked,http://agridata.tn/api/3
andmedstatee,Statistics Estonia Database,andmed.stat.ee,EN,Indicators catalog,Open,Indicator,Estonia,Government,PxWeb,,26.3.2023,26.3.2023 00:00,,,,,,,,,
annuariocomunefiit,,annuario.comune.fi.it,EN,Open data portal,Open,Dataset,Italy,,CKAN,CKAN API,,,,,,,,,,checked,http://annuario.comune.fi.it/ckan/api/3
apgcawide,Arctic Permafrost Geospatial Centre,apgc.awi.de,EN,Open data portal,Open,Dataset,Germany,,CKAN,CKAN API,,,,,,,,,,checked,https://apgc.awi.de/api/3
apifoodsecurityportalorg,CKAN,api.foodsecurityportal.org,EN,Open data portal,Open,Dataset,,,CKAN,CKAN API,,,,,,,,,,checked,https://api.foodsecurityportal.org/api/3
appswhoint,WHO Multi-Country Studies Data Archive,https://apps.who.int/healthinfo/systems/surveydata/index.php/catalog,EN,Microdata catalog,Open,Dataset,World,International,NADA,,24.3.2023,24.3.2023 00:00,,,,,,,,,
archaeologydatastationsnl,DANS Data Station Archaeology,archaeology.datastations.nl,EN,Scientific data repository,Open,Dataset,Netherlands,Academy,Dataverse,Dataverse API,26.3.2023,26.3.2023 00:00,,,,,,,,,
archivebetaicsuciedu,UCL Machine learning repository,archive-beta.ics.uci.edu,EN,Machine learning catalog,Open,Dataset,World,Academy,Custom software,,23.3.2023,23.3.2023 00:00,,,,,,,,,
archivecisercornelledu,CISER Data & Reproduction Archive,archive.ciser.cornell.edu,EN,Scientific data repository,"Open,Limited",Dataset,United States,Academy,Custom software,,25.3.2023,25.3.2023 00:00,,,,,,,,,
arcticatlasgeobotanyorg,Alaska Arctic Geoecological Atlas,arcticatlas.geobotany.org,EN,Open data portal,Open,Dataset,,,CKAN,CKAN API,,,,,,,,,,checked,https://arcticatlas.geobotany.org/catalog/api/3
avaandmedeestiee,Estonian open data,avaandmed.eesti.ee,EN,Open data portal,Open,Dataset,Estonia,Government,Custom software,,26.3.2023,26.3.2023 00:00,,,,,,,,,
avoindatafi,Avoindata.fi,avoindata.fi,FI,Open data portal,Open,Dataset,Finland,Government,CKAN,CKAN API,,,,,,,,,,checked,https://avoindata.fi/data/api/3
b2findeudateu,B2FIND,b2find.eudat.eu,EN,Open data portal,Open,Dataset,European Union,Government,CKAN,CKAN API,,,,,,,,,,checked,http://b2find.eudat.eu/api/3
ballaratopendataorgau,Ballarat Open Data,ballaratopendata.org.au,EN,Open data portal,Open,Dataset,Australia,Community,CKAN,CKAN API,,,,,,,,,,checked,https://ballaratopendata.org.au/api/3
basedosdadosorg,Base dos Dados,basedosdados.org,PT,Open data portal,Open,Dataset,Brazil,Business,CKAN,CKAN API,,,,,,,,,,checked,http://basedosdados.org/api/3
berncocivicdashboardscom,Bernalillo County Open Data Sandbox,bernco.civicdashboards.com,EN,Open data portal,Open,Dataset,United States,,CKAN,CKAN API,,,,,,,,,,checked,https://bernco.civicdashboards.com/api/3
betaukdataserviceacuk,UK Data service studies,beta.ukdataservice.ac.uk,EN,Scientific data repository,Open,Dataset,United Kingdom,Academy,Custom software,,23.3.2023,23.3.2023 00:00,,,,,,,,,
betaukdataserviceacuk,,beta.ukdataservice.ac.uk,EN,Open data portal,Open,Dataset,United Kingdom,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://beta.ukdataservice.ac.uk/datacatalogue/studies/#!?Search=&Page=1&Rows=10&Sort=0&DateFrom=440&DateTo=2020/ckan/api/3
bluecloudd4scienceorg,Blue-Cloud Catalogue,blue-cloud.d4science.org,EN,Scientific data repository,Open,Dataset,European Union,Academy,D4Science,,26.3.2023,26.3.2023 00:00,,,,,,,,,
bmckancpamigovtw,CIPEI,bmckan.cpami.gov.tw,zh_TW,Open data portal,Open,Dataset,Taiwan,Government,CKAN,CKAN API,,,,,,,,,,checked,http://bmckan.cpami.gov.tw/api/3
camstatnisgovkh,National Indicator Reporting Platform,camstat.nis.gov.kh,EN,Indicators catalog,Open,Indicator,Cambodia,Government,.Stat Suite,,26.3.2023,26.3.2023 00:00,,,,,,,,,
canwindatahubadumanitobaca,Canadian Watershed Information Network,canwin-datahub.ad.umanitoba.ca,EN,Open data portal,Open,Dataset,Canada,Government,CKAN,CKAN API,,,,,,,,,,checked,https://canwin-datahub.ad.umanitoba.ca/data/api/3
catalog.data.gov,catalog.data.gov,catalog.data.gov,EN,Open data portal,Open,Dataset,United States,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
catalogdatagov,Catalog,catalog.data.gov,EN,Open data portal,Open,Dataset,United States,Government,CKAN,CKAN API,,,,,,,,,,checked,https://catalog.data.gov/api/3
catalogihsnorg,IHSN Survey Catalog,catalog.ihsn.org,EN,Microdata catalog,"Open,Limited",Microdata,World,Academy,NADA,,22.3.2023,22.3.2023 00:00,,,,,,,,,
catalogindustriegovtn,Industrie Open Data,catalog.industrie.gov.tn,FR,Open data portal,Open,Dataset,Tunis,Government,CKAN,CKAN API,,,,,,,,,,checked,http://catalog.industrie.gov.tn/api/3
catalogintarosnerscno,INTAROS Data Catalogue,catalog-intaros.nersc.no,EN,Open data portal,Open,Dataset,Norway,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://catalog-intaros.nersc.no/api/3
catalogodatosabiertosgobec,Datos Abiertos Ecuador,catalogo.datosabiertos.gob.ec,ES,Open data portal,Open,Dataset,Ecuador,Government,CKAN,CKAN API,,,,,,,,,,checked,http://catalogo.datosabiertos.gob.ec/api/3
catalogodatosgubuy, Catálogo de Datos Abiertos de la República Oriental del Uruguay,catalogodatos.gub.uy,ES,Open data portal,Open,Dataset,Uruguay,Government,CKAN,CKAN API,18.3.2023,18.3.2023 12:52,,"El Catálogo Nacional de Datos Abiertos permite acceder a datos abiertos de organismos públicos, academia, organizaciones de sociedad civil y empresas privadas. Cualquier persona puede utilizar los datos publicados libremente para contar historias, desarrollar investigaciones, visualizaciones, aplicaciones cívicas y emprendimientos.",,,,,,checked,https://catalogodatos.gub.uy/api
catalogogovernoabertospgovbr,Governo Aberto SP,catalogo.governoaberto.sp.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://catalogo.governoaberto.sp.gov.br/api/3
catalogue.data.govt.nz,catalogue.data.govt.nz,catalogue.data.govt.nz,EN,Open data portal,Open,Dataset,New Zealand,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
cataloguecioosca,CIOOS/SIOOC,catalogue.cioos.ca,EN,Open data portal,Open,Dataset,Canada,,CKAN,CKAN API,,,,,,,,,,checked,https://catalogue.cioos.ca/api/3
cataloguedatagovbcca,Data Catalogue,catalogue.data.gov.bc.ca,EN,Open data portal,Open,Dataset,Canada,Government,CKAN,CKAN API,,,,,,,,,,checked,https://catalogue.data.gov.bc.ca/api/3
cataloguedatawagovau,data.wa.gov.au,catalogue.data.wa.gov.au,EN,Open data portal,Open,Dataset,Australia,Government,CKAN,CKAN API,,,,,,,,,,checked,https://catalogue.data.wa.gov.au/api/3
catalogueecgcca,ECCC Data Catalogue,catalogue.ec.gc.ca,EN,Geoportal,Open,Dataset,Canada,Government,Geonetwork,Geonetwork API,24.3.2023,24.3.2023 00:00,,,,,,,,,
cataloguegeoidedeveloppementdurablegouvfr,Catalogue interministériel de données géographiques,http://catalogue.geo-ide.developpement-durable.gouv.fr,FR,Geoportal,Open,Dataset,France,Government,Geonetwork,Geonetwork API,26.3.2023,26.3.2023 00:00,,,,,,,,,
cataloguenextgeosseu,NextGeoss,catalogue.nextgeoss.eu,EN,Open data portal,Open,Dataset,European Union,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://catalogue.nextgeoss.eu/api/3
catalogueogslca,OGSL/SLGO,catalogue.ogsl.ca,FR,Open data portal,Open,Dataset,Canada,,CKAN,CKAN API,,,,,,,,,,checked,https://catalogue.ogsl.ca/api/3
cataloguesimoceanpt,SIMOCEAN,catalogue.simocean.pt,EN,Open data portal,Open,Dataset,Portugal,,CKAN,CKAN API,,,,,,,,,,checked,http://catalogue.simocean.pt/api/3
ckan.govdata.de,ckan.govdata.de,ckan.govdata.de,DE,Open data portal,Open,Dataset,Germany,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
ckan.opendata.swiss,ckan.opendata.swiss,ckan.opendata.swiss,DE,Open data portal,Open,Dataset,Switzerland,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
ckan.openig.org,ckan.openig.org,ckan.openig.org,FR,Open data portal,Open,Dataset,France,Civil society,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
ckanafricadatahuborg,ADH Data Portal,ckan.africadatahub.org,EN,Open data portal,Open,Dataset,Africa,,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.africadatahub.org/api/3
ckancabiorg,CABI Data Repository,ckan.cabi.org,EN,Open data portal,Open,Dataset,United Kingdom,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.cabi.org/data/api/3
ckand4sd4scienceorg,D4Science Catalogue,ckan-d4s.d4science.org,EN,Scientific data repository,Open,Dataset,European Union,Academy,D4Science,,26.3.2023,26.3.2023 00:00,,,,,,,,,
ckand4sd4scienceorg,D4Science Catalogue,ckan-d4s.d4science.org,EN,Open data portal,Open,Dataset,,,CKAN,CKAN API,,,,,,,,,,checked,https://ckan-d4s.d4science.org/api/3
ckandevpdnditaliait,CKAN,ckan.dev.pdnd.italia.it,IT,Open data portal,Open,Dataset,Italy,,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.dev.pdnd.italia.it/api/3
ckanearlhamacuk,CKAN,ckan.earlham.ac.uk,EN,Open data portal,Open,Dataset,United Kingdom,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.earlham.ac.uk/api/3
ckanevopenindustryin,CKAN,ckan.ev.openindustry.in,EN,Open data portal,Open,Dataset,India,,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.ev.openindustry.in/api/3
ckangeonetmrnde,GeoNet-MRN,ckan.geonet-mrn.de,DE,Open data portal,Open,Dataset,Germany,,CKAN,CKAN API,,,,,,,,,,checked,http://ckan.geonet-mrn.de/api/3
ckangrassrootstools,DFW CKAN,ckan.grassroots.tools,EN,Open data portal,Open,Dataset,United Kingdom,Government,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.grassroots.tools/api/3
ckanjbrjgovbr,Dados Abertos do Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,ckan.jbrj.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.jbrj.gov.br/api/3
ckanmtpymparistofi,Marine Data Portal,ckanmtp.ymparisto.fi,FI,Open data portal,Open,Dataset,Finland,Government,CKAN,CKAN API,,,,,,,,,,checked,https://ckanmtp.ymparisto.fi/api/3
ckanopendatamaltacom,OpenData Malta,ckan.opendatamalta.com,EN,Open data portal,Open,Dataset,Malta,,CKAN,CKAN API,,,,,,,,,,checked,http://ckan.opendatamalta.com/api/3
ckanotevrenamestacz,Katalog otevřených dat | ZKUŠEBNÍ PROVOZ,ckan.otevrenamesta.cz,CZ,Open data portal,Open,Dataset,Czech Republic,,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.otevrenamesta.cz/api/3
ckanpearlpvcosteu,Pearl PV CKAN Repository,ckan.pearlpv-cost.eu,EN,Open data portal,Open,Dataset,European Union,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.pearlpv-cost.eu/api/3
ckanpfsapporojp,CKAN,ckan.pf-sapporo.jp,JA,Open data portal,Open,Dataset,Japan,Government,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.pf-sapporo.jp/api/3
ckanprefshizuokajp,CKAN,ckan.pref.shizuoka.jp,JA,Open data portal,Open,Dataset,Japan,Government,CKAN,CKAN API,,,,,,,,,,checked,https://ckan.pref.shizuoka.jp/api/3
ckanpublishingservicegovuk,ckan.publishing.service.gov.uk,ckan.publishing.service.gov.uk,EN,Open data portal,Open,Dataset,United Kingdom,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
ckanvizswigeunhcrorg,CKAN,ckanviz.swige.unhcr.org,EN,Open data portal,Open,Dataset,World,International,CKAN,CKAN API,,,,,,,,,,checked,https://ckanviz.swige.unhcr.org/api/3
ckgovdatagovbr,GovData,ck.govdata.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,https://ck.govdata.gov.br/api/3
claircitydatacbsnl,ClairCity data portal,claircitydata.cbs.nl,EN,Open data portal,Open,Dataset,Netherlands,,CKAN,CKAN API,,,,,,,,,,checked,https://claircitydata.cbs.nl/api/3
clarineuracedu,Eurac Research CLARIN Centre Repository,clarin.eurac.edu,EN,Scientific data repository,Open,Dataset,Italy,Academy,DSpace,"OAI-PMH,DSpace REST API",,,,,,,,,,,
commonsdataciteorg,Datacite Commons,commons.datacite.org,EN,Data search engine,Open,Dataset,World,Academy,Custom software,,26.3.2023,26.3.2023 00:00,,,,,,,,,
covid19dataeuieu,The COVID-19 SSH Data Portal,covid19data.eui.eu,EN,Scientific data repository,Open,Dataset,European Union,Academy,InvenioRDM,,20.3.2023,20.3.2023 11:23,,,,,,,,,
cystatdbcystatgovcy,CYSTAT-DB,cystatdb.cystat.gov.cy,"EN,GR",Indicators catalog,Open,Indicator,Cyprus,Government,PxWeb,,,,,,,,,,,,
dadesobertessaloucat,Portal Dades Obertes,dadesobertes.salou.cat,EN,Open data portal,Open,Dataset,Spain,,CKAN,CKAN API,,,,,,,,,,checked,https://dadesobertes.salou.cat/api/3
dadosabertosantaqgovbr,ANTAQ - Dados Abertos,dadosabertos.antaq.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.antaq.gov.br/api/3
dadosabertosbcbgovbr,Portal de Dados Abertos do Banco Central do Brasil,dadosabertos.bcb.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.bcb.gov.br/api/3
dadosabertosbndesgovbr,Portal de Dados Abertos do BNDES,dadosabertos.bndes.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,https://dadosabertos.bndes.gov.br/api/3
dadosabertoscapesgovbr,Dados Abertos Capes,dadosabertos.capes.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.capes.gov.br/api/3
dadosabertosdataprevgovbr,,dadosabertos.dataprev.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.dataprev.gov.br/api/3
dadosabertosibamagovbr,IBAMA,dadosabertos.ibama.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.ibama.gov.br/api/3
dadosabertosifaledubr,Portal de Dados Abertos do IFAL,dadosabertos.ifal.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.ifal.edu.br/api/3
dadosabertosifcedubr,Dados Abertos | IFC,dadosabertos.ifc.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.ifc.edu.br/api/3
dadosabertosiftmedubr,Portal de Dados Abertos do IFTM,dadosabertos.iftm.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.iftm.edu.br/api/3
dadosabertosprefeiturapoabr,Dados Abertos - POA,dadosabertos.prefeitura.poa.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,https://dadosabertos.prefeitura.poa.br/api/3
dadosabertossenadogovbr,Portal De Dados Abertos Do Senado Federal (brazil),dadosabertos.senado.gov.br,EN,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,https://dadosabertos.senado.gov.br/data/api/3
dadosabertosufersaedubr,Dados Abertos UFERSA,dadosabertos.ufersa.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.ufersa.edu.br/api/3
dadosabertosufmabr,Portal de Dados Abertos da UFMA,dadosabertos.ufma.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.ufma.br/api/3
dadosabertosufmsbr,CKAN,dadosabertos.ufms.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dadosabertos.ufms.br/api/3
dadosabertosunilabedubr,Dados Abertos Unilab,dadosabertos.unilab.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dadosabertos.unilab.edu.br/api/3
dadosagriculturagovbr,"Portal de Dados Abertos do Ministério da Agricultura, Pecuária e Abastecimento",dados.agricultura.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.agricultura.gov.br/api/3
dadosalgovbr,Sobre Alagoas em Dados e Informações,dados.al.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,
dadosalgovbr,Alagoas em Dados e Informações,dados.al.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.al.gov.br/api/3
dadosanagovbr,Portal  de  Dados  Abertos  da  ANA,dados.ana.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ana.gov.br/api/3
dadosanttgovbr,Portal de Dados Abertos ANTT,dados.antt.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,https://dados.antt.gov.br/api/3
dadoscontraosagrotoxicosorg,Portal de Dados Abertos Sobre Agrotóxicos,dados.contraosagrotoxicos.org,PT,Open data portal,Open,Dataset,,,CKAN,CKAN API,,,,,,,,,,checked,https://dados.contraosagrotoxicos.org/api/3
dadosculturagovbr,Portal de Dados da Cultura,dados.cultura.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.cultura.gov.br/api/3
dadoscvmgovbr,Portal Dados Abertos CVM,dados.cvm.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.cvm.gov.br/api/3
dadosdfgovbr,PORTAL DE DADOS ABERTOS DO GOVERNO DE BRASÍLIA,dados.df.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.df.gov.br/api/3
dadosfortalezacegovbr,CKAN,dados.fortaleza.ce.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.fortaleza.ce.gov.br/api/3
dadosgovbr,dados.gov.br,dados.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,Custom software,,20.3.2023,20.3.2023 11:23,,,,,,,,,
dadosgovpt,dados.gov.pt,dados.gov.pt,PT,Open data portal,Open,Dataset,Portugal,Government,uData,uData API,20.3.2023,20.3.2023 11:23,,,,,,,,,
dadosibictbr,Dados Abertos do Ibict,dados.ibict.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ibict.br/api/3
dadosifmsedubr,Dados Abertos,dados.ifms.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ifms.edu.br/api/3
dadosifmtedubr,Dados Abertos do IFMT,dados.ifmt.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ifmt.edu.br/api/3
dadosifrnedubr,Portal de Dados Abertos do IFRN,dados.ifrn.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dados.ifrn.edu.br/api/3
dadosifroedubr,Dados Abertos | IFRO,dados.ifro.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dados.ifro.edu.br/api/3
dadosifrsedubr,Portal de Dados Abertos do IFRS,dados.ifrs.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dados.ifrs.edu.br/api/3
dadosifsertaopeedubr,Dados Abertos IF Sertão-PE,dados.ifsertao-pe.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ifsertao-pe.edu.br/api/3
dadosifspedubr,Portal de Dados Abertos do IFSP ,dados.ifsp.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dados.ifsp.edu.br/api/3
dadosifsuldeminasedubr,Portal de Dados Abertos do IFSULDEMINAS,dados.ifsuldeminas.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ifsuldeminas.edu.br/api/3
dadosjusticagovpt,dados.justiça.gov.pt,dados.justica.gov.pt,PT,Open data portal,Open,Dataset,Portugal,Government,CKAN,CKAN API,,,,,,,,,,checked,https://dados.justica.gov.pt/api/3
dadosjuventudeibictbr,dadosJuventude,dadosjuventude.ibict.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dadosjuventude.ibict.br/api/3
dadosmdagovbr,SEAD,dados.mda.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.mda.gov.br/api/3
dadosmggovbr,Portal de Dados Abertos do Estado de Minas Gerais,dados.mg.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.mg.gov.br/api/3
dadosmmagovbr,Portal de Dados Abertos do MMA:,dados.mma.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.mma.gov.br/api/3
dadosnatalbr,Portal da Transparência da Mobilidade Urbana de Natal,dados.natal.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.natal.br/api/3
dadosonsorgbr,DADOS ABERTOS ONS,dados.ons.org.br,PT,Open data portal,Open,Dataset,Brazil,Business,CKAN,CKAN API,,,,,,,,,,checked,https://dados.ons.org.br/api/3
dadospbhgovbr,Portal de Dados Abertos,dados.pbh.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,https://dados.pbh.gov.br/api/3
dadosprefeituraspgovbr,Portal de Dados Abertos da Cidade de São Paulo,dados.prefeitura.sp.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.prefeitura.sp.gov.br/api/3
dadosrecifepegovbr,Portal de Dados Abertos da Cidade do Recife,dados.recife.pe.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.recife.pe.gov.br/api/3
dadosrsgovbr,Dados Abertos,dados.rs.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,https://dados.rs.gov.br/api/3
dadostcersgovbr,Dados Abertos TCE-RS,dados.tce.rs.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://dados.tce.rs.gov.br/api/3
dadosufcaedubr,Dados Abertos › UFCA,dados.ufca.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dados.ufca.edu.br/api/3
dadosufcspaedubr,Dados Abertos UFCSPA,dados.ufcspa.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dados.ufcspa.edu.br/api/3
dadosufesbr,Dados Abertos,dados.ufes.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ufes.br/api/3
dadosuffsedubr,Dados Abertos da UFFS,dados.uffs.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dados.uffs.edu.br/api/3
dadosufopbr,UFOP Dados Abertos,dados.ufop.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ufop.br/api/3
dadosufpeledubr,Dados Abertos da UFPel,dados.ufpel.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ufpel.edu.br/api/3
dadosufpibr,Dados Abertos - UFPI,dados.ufpi.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ufpi.br/api/3
dadosufprbr,Universidade Federal do Paraná - UFPR,dados.ufpr.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dados.ufpr.br/api/3
dadosufrgsbr,DADOS ABERTOS - UFRGS,dados.ufrgs.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dados.ufrgs.br/api/3
dadosufrnbr,Dados Abertos da UFRN,dados.ufrn.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ufrn.br/api/3
dadosufrrbr,Dados Abertos da Universidade Federal de Roraima,dados.ufrr.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://dados.ufrr.br/api/3
dadosufsmbr,UFSM Dados aberto,dados.ufsm.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.ufsm.br/api/3
dadosunifesspaedubr,Dados Abertos Unifesspa,dados.unifesspa.edu.br,PT,Open data portal,Open,Dataset,Brazil,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://dados.unifesspa.edu.br/api/3
dandiarchiveorg,DANDIArchive,dandiarchive.org,EN,Scientific data repository,Open,Dataset,United States,Academy,Custom software,,26.3.2023,26.3.2023 00:00,,,,,,,,,
danegovpl,dane.gov.pl,dane.gov.pl,PL,Open data portal,Open,Dataset,Poland,Government,Custom software,,20.3.2023,20.3.2023 11:23,,,,,,,,,
