dbid,name,link,langs,catalog_type,access_mode,content_types,countries,owner_type,software,export_standard,add_date,update_date,catalog_export,description,owner_name,owner_link,search_index,storage_volume,dataset_count,api,api_link
openalbertaca,open.alberta.ca,open.alberta.ca,EN,Open data portal,Open,Dataset,Canada,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
openbaladiatitn,Portail des données ouvertes des Municipalités,openbaladiati.tn,"AR,FR",Open data portal,Open,Dataset,Tunis,Government,CKAN,CKAN API,,,,,,,,,,checked,http://openbaladiati.tn/api/3
openbudgetsindiaorg,Open Budgets India,openbudgetsindia.org,EN,Open data portal,Open,Dataset,India,Civil society,CKAN,CKAN API,,,,,,,,,,checked,https://openbudgetsindia.org/api/3
opencanadaca,Open Government Portal,open.canada.ca,EN,Open data portal,Open,Dataset,Canada,Government,CKAN,CKAN API,,,,,,,,,,checked,https://open.canada.ca/data/api/3
opencaribbeanorg,opencaribbean.org,opencaribbean.org,EN,Open data portal,Open,Dataset,Caribbean,Civil society,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
opencomno,Open data from the Stavanger region,opencom.no,"EN,NO",Open data portal,Open,Dataset,Norway,Government,CKAN,CKAN API,,,,,,,,,,checked,
opendataaachende,Open Data Portal,opendata.aachen.de,DE,Open data portal,Open,Dataset,Germany,,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.aachen.de/api/3
opendataabbevillefr,ODAF - OpenData.Abbeville.Fr,opendata.abbeville.fr,FR,Open data portal,Open,Dataset,France,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.abbeville.fr/api/3
opendataadicofr,CKAN,opendata.adico.fr,FR,Open data portal,Open,Dataset,France,Business,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.adico.fr/api/3
opendataajuntamentbarcelonacat,Open Data Barcelona,opendata-ajuntament.barcelona.cat,EN,Open data portal,Open,Dataset,Spain,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata-ajuntament.barcelona.cat/data/api/3
opendataalcoiorg,CKAN,opendata.alcoi.org,EN,Open data portal,Open,Dataset,Spain,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.alcoi.org/data/api/3
opendataangusgovuk,Angus Open Data Hub,opendata.angus.gov.uk,EN,Open data portal,Open,Dataset,United Kingdom,Government,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.angus.gov.uk/api/3
opendataaragones,,opendata.aragon.es,EN,Open data portal,Open,Dataset,Spain,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opendata.aragon.es/data/data/api/3
opendataaytocacereses,OpenData Cáceres,opendata.ayto-caceres.es,EN,Open data portal,Open,Dataset,Spain,,CKAN,CKAN API,,,,,,,,,,checked,http://opendata.ayto-caceres.es/api/3
opendataaz,Open Data Portal Azerbaijan,opendata.az,"EN,RU,AZ",Open data portal,Open,Dataset,Azerbaijan,Government,Custom software,,26.3.2023,26.3.2023 00:00,,,,,,,,,
